food_name,kcal_per_100g,protein_g_per_100g,carbs_g_per_100g,fat_g_per_100g
"Oats, whole grain, steel cut",381.25,12.51,69.75,5.80
"Pineapple, raw",60.11,0.46,14.09,0.21
"Cherries, sweet, dark red, raw",70.54,1.04,16.16,0.19
"Beans, snap, green, raw",40.00,1.97,7.41,0.28
"Potatoes, russet, without skin, raw",83.42,2.27,17.77,0.36
"Potatoes, red, without skin, raw",75.56,2.06,16.27,0.25
"Potatoes, gold, without skin, raw",73.47,1.81,15.96,0.26
"Sweet potatoes, orange flesh, without skin, raw",79.00,1.58,17.33,0.38
"Celery, raw",16.70,0.49,3.32,0.16
"Cucumber, with peel, raw",15.91,0.63,2.95,0.18
"Cabbage, green, raw",31.43,0.96,6.38,0.23
"Cabbage, red, raw",34.05,1.24,6.79,0.21
"Strawberries, raw",36.40,0.64,7.96,0.22
"Raspberries, raw",57.34,1.01,12.90,0.19
"Blueberries, raw",63.86,0.70,14.57,0.31
"Grapes, red, seedless, raw",85.92,0.91,20.20,0.16
"Grapes, green, seedless, raw",80.10,0.90,18.60,0.23
"Applesauce, unsweetened, with added vitamin C",51.60,0.27,12.26,0.16
"Flour, amaranth",384.08,13.21,68.78,6.24
"Flour, quinoa",385.20,11.92,69.52,6.60
"Flour, sorghum",374.93,8.27,77.39,3.59
"Flour, buckwheat",357.97,8.88,75.02,2.48
"Flour, rye",359.40,8.40,77.16,1.91
"Flour, barley",366.53,8.72,77.40,2.45
"Flour, cassava",357.37,0.92,87.31,0.49
"Buckwheat, whole grain",356.14,11.07,71.13,3.04
"Millet, whole grain",375.62,10.02,74.45,4.19
"Rice, brown, long grain, unenriched, raw",365.52,7.25,76.69,3.31
"Rice, white, long grain, unenriched, raw",358.71,7.04,80.31,1.03
"Beef, ground, 90% lean meat / 10% fat, raw",188.27,18.16,0.00,12.85
"Beef, ground, 80% lean meat / 20% fat, raw",245.09,17.53,0.00,19.44
"Pork, ground, raw",228.64,17.81,0.00,17.49
"Chicken, ground, with additives, raw",136.10,17.91,0.00,7.16
"Turkey, ground, 93% lean/ 7% fat, raw",155.69,17.34,0.00,9.59
"Nuts, brazilnuts, raw",663.59,15.04,21.64,57.43
"Nuts, cashew nuts, raw",564.66,17.44,36.29,38.86
"Nuts, hazelnuts or filberts, raw",641.39,13.49,26.50,53.49
"Peanuts, raw",588.33,23.21,26.50,43.28
"Flour, chestnut",384.67,5.29,80.45,4.64
"Nuts, macadamia nuts, raw",711.89,7.79,24.09,64.93
"Nuts, pistachio nuts, raw",597.98,20.51,27.69,45.02
"Seeds, pumpkin seeds (pepitas), raw",554.60,29.91,18.68,40.03
"Seeds, sunflower seed, kernel, raw",609.46,18.87,24.50,48.44
"Flour, coconut",437.68,16.14,58.90,15.28
"Beans, cannellini, dry",345.22,21.56,59.80,2.20
"Chickpeas, (garbanzo beans, bengal gram), dry",383.00,21.28,60.36,6.27
"Lentils, dry",360.29,23.57,62.17,1.93
"Blackeye pea, dry",354.02,21.23,61.84,2.42
"Beans, black, canned, sodium added, drained and rinsed",118.36,6.91,19.81,1.27
"Beans, navy, canned, sodium added, drained and rinsed",118.79,6.57,19.98,1.40
"Beans, cannellini, canned, sodium added, drained and rinsed",115.45,7.41,18.82,1.17
"Chickpeas (garbanzo beans, bengal gram), canned, sodium added, drained and rinsed",137.22,7.02,20.32,3.10
"Beans, kidney, dark red, canned, sodium added, sugar added, drained and rinsed",126.62,7.80,21.03,1.26
"Beans, kidney, light red, canned, sodium added, sugar added, drained and rinsed",126.70,7.31,21.45,1.30
"Peas, green, sweet, canned, sodium added, sugar added, drained and rinsed",80.15,4.73,12.71,1.15
"Beans, pinto, canned, sodium added, drained and rinsed",116.57,6.69,19.60,1.27
"Blackeye pea, canned, sodium added, drained and rinsed",116.03,6.93,19.17,1.30
"Beans, great northern, canned, sodium added, drained and rinsed",116.83,7.03,19.33,1.27
"Pork, loin, boneless, raw",169.70,21.12,0.00,9.47
"Pork, loin, tenderloin, boneless, raw",121.42,21.58,0.00,3.90
"Chicken, breast, boneless, skinless, raw",107.51,22.53,0.00,1.93
"Chicken, thigh, boneless, skinless, raw",145.69,18.61,0.00,7.92
"Beef, ribeye, steak, boneless, choice, raw",255.33,18.74,0.00,20.04
"Beef, round, top round, boneless, choice, raw",140.64,21.48,0.85,5.70
"Beef, chuck, roast, boneless, choice, raw",233.80,18.40,0.00,17.80
"Beef, flank, steak, boneless, choice, raw",165.12,20.13,0.00,9.40
"Yogurt, plain, nonfat",50.00,4.23,8.08,0.09
"Cheese, monterey jack, solid",391.73,22.62,1.90,32.63
"Cheese, pasteurized process cheese food or product, American, singles",309.77,15.57,8.19,23.86
"Cheese, provolone, sliced",356.79,23.45,2.45,28.13
"Cheese, oaxaca, solid",297.09,22.14,2.40,22.10
"Cheese, queso fresco, solid",297.61,18.88,2.96,23.36
"Cheese, cotija, solid",351.40,23.84,2.72,27.24
"Fish, salmon, sockeye, wild caught, raw",133.62,22.30,0.00,4.94
"Fish, salmon, Atlantic, farm raised, raw",199.27,20.32,0.00,13.11
"Fish, tilapia, farm raised, raw",98.31,19.00,0.00,2.48
"Crustaceans, shrimp, farm raised, raw",71.43,15.57,0.48,0.80
"Fish, cod, Atlantic, wild caught, raw",70.28,16.07,0.00,0.67
"Fish, catfish, farm raised, raw",131.65,16.47,0.00,7.31
"Crustaceans, crab, blue swimming, lump, pasteurized, refrigerated",81.87,18.65,0.00,0.81
"Squash, summer, green, zucchini, includes skin, raw",18.86,0.98,3.27,0.21
"Squash, summer, yellow, includes skin, raw",22.34,0.89,4.39,0.14
